respondent_id,state,presidential_vote,voter_turnout,pre_election_presidential_choice,age,education,race_ethnicity,sex,gender,income,ideology,state_name,presidential_vote_label,voter_turnout_label,education_label,race_ethnicity_label,sex_label,gender_label,income_label,ideology_label,pre_election_choice_label,age_group,major_party_vote,education_group,income_group
140001,40.0,2.0,1.0,21.0,50.0,4.0,3.0,1.0,1.0,27.0,6.0,Oklahoma,Donald Trump,Voted,Bachelor's degree,Hispanic,Male,Man,"$175,000-249,999",Conservative,Republican candidate selected (intent),45-64,Republican,Bachelor's degree,Higher income categories
140002,16.0,,0.0,22.0,41.0,3.0,4.0,2.0,2.0,26.0,4.0,Idaho,,Did not vote,Some college / no bachelor's,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Female,Woman,"$150,000-174,999",Moderate,Other candidate selected (intent),30-44,,No college degree,Higher income categories
140003,51.0,1.0,1.0,20.0,44.0,3.0,1.0,2.0,2.0,24.0,2.0,Virginia,Kamala Harris,Voted,Some college / no bachelor's,"White, non-Hispanic",Female,Woman,"$110,000-124,999",Liberal,Democratic candidate selected (intent),30-44,Democratic,No college degree,Higher income categories
140005,8.0,2.0,1.0,21.0,80.0,5.0,1.0,1.0,1.0,15.0,4.0,Colorado,Donald Trump,Voted,Graduate degree,"White, non-Hispanic",Male,Man,"$50,000-54,999",Moderate,Republican candidate selected (intent),65+,Republican,Graduate degree,Middle income categories
140006,48.0,,0.0,20.0,75.0,3.0,1.0,2.0,2.0,13.0,4.0,Texas,,Did not vote,Some college / no bachelor's,"White, non-Hispanic",Female,Woman,"$40,000-44,999",Moderate,Democratic candidate selected (intent),65+,,No college degree,Middle income categories
140007,55.0,2.0,1.0,22.0,41.0,3.0,1.0,2.0,2.0,12.0,4.0,Wisconsin,Donald Trump,Voted,Some college / no bachelor's,"White, non-Hispanic",Female,Woman,"$35,000-39,999",Moderate,Other candidate selected (intent),30-44,Republican,No college degree,Middle income categories
140012,55.0,1.0,1.0,20.0,59.0,2.0,1.0,1.0,1.0,25.0,4.0,Wisconsin,Kamala Harris,Voted,High school,"White, non-Hispanic",Male,Man,"$125,000-149,999",Moderate,Democratic candidate selected (intent),45-64,Democratic,No college degree,Higher income categories
140014,51.0,1.0,1.0,20.0,42.0,5.0,4.0,1.0,1.0,28.0,4.0,Virginia,Kamala Harris,Voted,Graduate degree,"Asian or Native Hawaiian/other Pacific Islander, non-Hispanic",Male,Man,"$250,000 or more",Moderate,Democratic candidate selected (intent),30-44,Democratic,Graduate degree,Higher income categories
140017,25.0,1.0,1.0,20.0,58.0,4.0,1.0,1.0,1.0,28.0,3.0,Massachusetts,Kamala Harris,Voted,Bachelor's degree,"White, non-Hispanic",Male,Man,"$250,000 or more",Slightly liberal,Democratic candidate selected (intent),45-64,Democratic,Bachelor's degree,Higher income categories
140018,33.0,1.0,1.0,20.0,59.0,4.0,1.0,1.0,1.0,27.0,3.0,New Hampshire,Kamala Harris,Voted,Bachelor's degree,"White, non-Hispanic",Male,Man,"$175,000-249,999",Slightly liberal,Democratic candidate selected (intent),45-64,Democratic,Bachelor's degree,Higher income categories
140019,32.0,1.0,1.0,20.0,66.0,4.0,1.0,2.0,2.0,20.0,3.0,Nevada,Kamala Harris,Voted,Bachelor's degree,"White, non-Hispanic",Female,Woman,"$75,000-79,999",Slightly liberal,Democratic candidate selected (intent),65+,Democratic,Bachelor's degree,Middle income categories
140026,13.0,1.0,1.0,20.0,77.0,4.0,1.0,1.0,1.0,15.0,2.0,Georgia,Kamala Harris,Voted,Bachelor's degree,"White, non-Hispanic",Male,Man,"$50,000-54,999",Liberal,Democratic candidate selected (intent),65+,Democratic,Bachelor's degree,Middle income categories
140028,51.0,2.0,1.0,21.0,54.0,4.0,1.0,1.0,1.0,25.0,5.0,Virginia,Donald Trump,Voted,Bachelor's degree,"White, non-Hispanic",Male,Man,"$125,000-149,999",Slightly conservative,Republican candidate selected (intent),45-64,Republican,Bachelor's degree,Higher income categories
140029,36.0,1.0,1.0,20.0,70.0,5.0,1.0,1.0,1.0,25.0,5.0,New York,Kamala Harris,Voted,Graduate degree,"White, non-Hispanic",Male,Man,"$125,000-149,999",Slightly conservative,Democratic candidate selected (intent),65+,Democratic,Graduate degree,Higher income categories
140033,16.0,1.0,1.0,20.0,50.0,5.0,1.0,2.0,2.0,9.0,2.0,Idaho,Kamala Harris,Voted,Graduate degree,"White, non-Hispanic",Female,Woman,"$25,000-27,499",Liberal,Democratic candidate selected (intent),45-64,Democratic,Graduate degree,Lower income categories
140034,55.0,2.0,1.0,21.0,70.0,4.0,1.0,1.0,1.0,27.0,6.0,Wisconsin,Donald Trump,Voted,Bachelor's degree,"White, non-Hispanic",Male,Man,"$175,000-249,999",Conservative,Republican candidate selected (intent),65+,Republican,Bachelor's degree,Higher income categories
